V1,V2,V3,V4
021082418SOUTH,SUDAN BANK OF SOUTH SUDAN     ,Y,Y20130110
021082489IMF,ACCT TWO IMF ACCT TWO/FOREIGN DEPARTMENT    ,Y,N
021082492IMF,EMERGENCY IMF EMERGENCY/FOREIGN DEPARTMENT      ,Y,N20150107
021082502PORTUGAL,OPS ACCT2BANCO DE PORTUGAL OPS ACCT 2   ,Y,N20110808
021082528GHANA,HRTG GHANA - HERITAGE FUND ACCT    ,Y,Y20120830
021082531GHANA,STBLZN GHANA - STABILIZATION FUND ACCT    ,Y,Y20120830
021082544ISRAEL,MOF SP TWO GOVT OF ISRAEL MOF SP NO. 2,Y,N20140113
021082557MONGOLIA,RAMP BANK OF MONGOLIA RAMP ACCOUNT    ,Y,Y20120113
021082586MOLDOVA,RAMP NATIONAL BANK OF MOLDOVA - RAMP ACCT  ,Y,Y20110111
021082599ECB,- OPS ACCT 1 EUROPEAN CENTRAL BANK-OPER ACCT 1 ,Y,N20140107
021082609SEC,TREAS SPEC ACCSEC TREAS SPEC ACC/FOREIGN DEPT   ,Y,Y
021082612SEC,TREAS SEC TREAS SPEC #3/FOREIGN DEPT    ,Y,N20141121
021082625SEC,TREAS SEC TREAS SPECIAL/FOREIGN DEPT     ,Y,N20141121
021082667POLAND,DES ACCT NARODOWY BANK POLSKI DESIGNATED ACCT   ,Y,Y20100324
021082793CIVIL,PENALTY FUNDCONSUMER FINL CIVIL PENALTY FUND    ,Y,N20120418
021082803BNS,- OPS ACCT 1 BNS - OPS ACCT 1 ,Y,N20141121
021082816ARG,USD DIS L IC ARGENTINA USD DIS SER L/FOREIGN DEPT,Y,Y20060110
021082832ARG,USD PAR L IC ARGENTINA USD PAR SER L/FOREIGN DEPT,Y,Y20060110
021082887CB,YEMEN- IP ACCT CENTRAL BANK OF YEMEN- IP ACCT ,Y,Y20140602
021082926IRAQ,ACCOUNT NO 2 CENTRAL BANK OF IRAQ ACCOUNT NO 2,Y,Y20140721
021082939LATVIA-OPS,ACCT 1 LATVIJAS BANKA - OPS ACCT 1  ,Y,Y20140820
021082942MAURITANIA,RAMP BANQUE CENTRALE DE MAURITANIE- RAMP    ,Y,Y20140514
